[2026-03-01 20:25:22] App: plow, Executable: /home/shen/project/duallauncher-main/apps/plow2, Termination: stopped_by_launcher
[2026-03-01 20:25:22] App: colision_avoidance, Executable: /home/shen/project/duallauncher-main/apps/ca_main, Termination: stopped_by_launcher
[2026-03-01 20:25:26] App: plow, Executable: /home/shen/project/duallauncher-main/apps/plow2, Termination: stopped_by_launcher
[2026-03-01 20:25:26] App: colision_avoidance, Executable: /home/shen/project/duallauncher-main/apps/ca_main, Termination: stopped_by_launcher
[2026-03-01 20:25:28] App: plow, Executable: /home/shen/project/duallauncher-main/apps/plow2, Termination: stopped_by_launcher
[2026-03-01 20:25:28] App: colision_avoidance, Executable: /home/shen/project/duallauncher-main/apps/ca_main, Termination: stopped_by_launcher
[2026-03-01 20:26:24] App: plow, Executable: /home/shen/project/duallauncher-main/apps/plow2, Termination: stopped_by_launcher
[2026-03-01 20:26:24] App: colision_avoidance, Executable: /home/shen/project/duallauncher-main/apps/ca_main, Termination: stopped_by_launcher
[2026-03-01 20:26:50] App: colision_avoidance, Executable: /home/shen/project/duallauncher-main/apps/ca_main, Termination: launcher_closed
[2026-03-01 20:26:50] App: plow, Executable: /home/shen/project/duallauncher-main/apps/plow2, Termination: launcher_closed
[2026-03-02 09:27:54] App: plow, Executable: /home/shen/project/duallauncher-main/apps/plow2, Termination: stopped_by_launcher
[2026-03-02 09:27:54] App: colision_avoidance, Executable: /home/shen/project/duallauncher-main/apps/ca_main, Termination: stopped_by_launcher
[2026-03-02 09:27:54] App: follow, Executable: /home/shen/project/duallauncher-main/apps/Autonomous_Following_with_Redis, Termination: stopped_by_launcher
[2026-03-02 09:28:57] App: colision_avoidance, Executable: /home/shen/project/duallauncher-main/apps/ca_main, Termination: launcher_closed
[2026-03-02 09:28:57] App: follow, Executable: /home/shen/project/duallauncher-main/apps/Autonomous_Following_with_Redis, Termination: launcher_closed
[2026-03-02 09:28:57] App: pathplan, Executable: /home/shen/project/duallauncher-main/apps/pathplan/ship_route_planner, Termination: launcher_closed
[2026-03-02 09:28:57] App: plow, Executable: /home/shen/project/duallauncher-main/apps/plow2, Termination: launcher_closed
